game,console,loose_val,complete_val,new_val,date(D/M/Y)
Star Fox Zero &amp; Star Fox Guard Bundle,wii-u,16.41,16.99,24.97,28/02/2024
Animal Crossing Amiibo Festival,wii-u,6.16,10.93,22.19,28/02/2024
Wii U Pro Controller White,wii-u,26.95,33.56,120.00,28/02/2024
Barbie: Dreamhouse Party,wii-u,19.99,22.38,43.26,28/02/2024
Wii U Console Basic White 8GB,wii-u,122.36,150.00,701.05,28/02/2024
Pokken Tournament [Shadow Mewtwo amiibo Card],wii-u,24.99,32.71,102.50,28/02/2024
Disney Infinity [Game Only],wii-u,7.33,9.19,13.93,28/02/2024
Skylanders Imaginators: Starter Pack,wii-u,7.68,13.61,31.02,28/02/2024
DuckTales Remastered,wii-u,23.99,24.99,40.96,28/02/2024
Call of Duty Black Ops II,wii-u,16.56,19.97,37.25,28/02/2024
Wii U Console Deluxe: Mario &amp; Luigi Edition,wii-u,180.74,239.99,754.69,28/02/2024
Shovel Knight,wii-u,18.61,18.92,34.99,28/02/2024
Xenoblade Chronicles X [Special Edition],wii-u,60.75,111.69,189.99,28/02/2024
Jeopardy [Nordic Games],wii-u,34.78,40.00,56.00,28/02/2024
Wii Fit U with Balance Board and Fit Meter,wii-u,19.45,24.07,57.11,28/02/2024
Tokyo Mirage Sessions #FE,wii-u,14.40,15.00,19.88,28/02/2024
Mario &amp; Sonic at the Sochi 2014 Olympic Games,wii-u,14.09,18.53,47.74,28/02/2024
Ninja Gaiden 3: Razor's Edge,wii-u,7.74,8.03,13.50,28/02/2024
Sonic Boom: Rise of Lyric,wii-u,17.50,22.68,49.99,28/02/2024
Star Fox Zero,wii-u,12.62,14.77,25.01,28/02/2024
Zelda Wind Waker HD [Limited Edition],wii-u,129.99,210.00,279.99,28/02/2024
Wii U Pro Controller Black,wii-u,24.46,38.71,74.76,28/02/2024
Disney Infinity 3.0 Starter Pack,wii-u,8.15,10.81,11.16,28/02/2024
Hyrule Warriors [Limited Edition],wii-u,203.35,003.41,850.00,28/02/2024
Super Mario Maker [Book Bundle],wii-u,10.00,10.49,28.79,28/02/2024
Barbie and Her Sisters: Puppy Rescue,wii-u,9.98,10.39,19.99,28/02/2024
Sonic Lost World [Deadly Six Edition],wii-u,33.58,65.99,180.02,28/02/2024
